Title,Standfirst,Brief,Hook,Live URL,Editor,Studio,Word count,Editor rating,Draft progress,Goal attainment,Production cost,Channel,Author,Topics,Series,Editorial status,Evergreen,Publish on,Draft from,Publish by,Last edited,Cost / word,Follows on from,Follow-ups,Assets,Created,Modified
Why your database view is slow,Best performing piece of the quarter.,"The brief is narrow on purpose. One question, one answer, one worked example, and nothing about the roadmap. The last three pieces that tried to do both did neither well.

Structure:
- The question, as a reader would ask it
- The shortest honest answer
- One example with real numbers
- What it does not cover",==Top performer==,blog.example.com/why-your-database-view-is-slow,priya.raman@editorial.example.com,+31 20 975 7220,3908,1,91,14,1101.83,Blog,Mira Rautio,"product, opinion, design",deep-dive,Idea,false,2026-03-30,2026-03-29,2026-03-30,,,,,Database Testbed/Attachments/release-notes.txt,,
"Ten column types, ranked",Held back a week for the release it depends on.,Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,,,mira.rautio@editorial.example.com,,2307,5,56,,592.41,Social,Mira Rautio,"interview, opinion, design",,Published,false,2026-04-04,2026-03-21,2026-04-04,2026-03-09T17:15,,12 — Screenshots that lie,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
A short history of the outliner,Best performing piece of the quarter.,,*Second* in the series,blog.example.com/a-short-history-of-the-outliner,etienne.girard@editorial.example.com,,1331,1,83,45,842.71,Newsletter,Priya Raman,"design, product","field-notes, explainer",Scheduled,false,2026-03-29,2026-03-27,2026-03-29,2026-03-23T19:00,,20 — Why we removed a feature,,,,
Designing for the thumb,Commissioned after three separate user reports asked the same question.,Evergreen: worth refreshing every six months rather than replacing.,==Top performer==,,mira.rautio@editorial.example.com,+31 20 194 4779,2169,1,86,42,405.22,Social,Noah Kimani,opinion,field-notes,Spiked,false,,2026-01-31,2026-02-21,,,"09 — The case against infinite scroll, 24 — The property panel redesign",,,,
What Notion got right,Commissioned after three separate user reports asked the same question.,Evergreen: worth refreshing every six months rather than replacing.,**Evergreen** candidate,blog.example.com/what-notion-got-right,etienne.girard@editorial.example.com,+31 20 673 9839,2047,4,32,85,368.36,Blog,Mira Rautio,"opinion, product, design, engineering, tutorial, interview",,Drafting,false,2026-02-16,2026-01-29,2026-02-16,2026-01-26T17:00,,,,,,
What Notion got wrong,Held back a week for the release it depends on.,,Wait for the `0.0.24` numbers,blog.example.com/what-notion-got-wrong,noah.kimani@editorial.example.com,+31 20 612 6028,1034,4,0,16,,Docs,Mira Rautio,"design, engineering, tutorial, opinion, product, interview",explainer,Scheduled,false,2026-03-16,2026-02-23,2026-03-16,2026-02-20T10:30,,"22 — Mobile first, actually, 26 — Benchmarking on a real device",,,,
Frontmatter as a schema,Best performing piece of the quarter.,,,blog.example.com/frontmatter-as-a-schema,priya.raman@editorial.example.com,,2412,,73,,1701.9,Blog,Noah Kimani,"design, opinion, engineering, tutorial, interview","deep-dive, explainer",Drafting,false,2026-06-09,2026-05-19,2026-06-09,2026-05-17T09:00,,,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Rollups explained without jargon,Commissioned after three separate user reports asked the same question.,Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,Wait for the `0.0.24` numbers,,etienne.girard@editorial.example.com,,2792,4,71,37,889.87,Video,Noah Kimani,"interview, tutorial",explainer,Published,true,2026-02-22,2026-02-18,2026-02-22,,,,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
The case against infinite scroll,Held back a week for the release it depends on.,"The brief is narrow on purpose. One question, one answer, one worked example, and nothing about the roadmap. The last three pieces that tried to do both did neither well.

Structure:
- The question, as a reader would ask it
- The shortest honest answer
- One example with real numbers
- What it does not cover",**Evergreen** candidate,blog.example.com/the-case-against-infinite-scroll,etienne.girard@editorial.example.com,+31 20 816 6843,1291,5,76,59,2138.46,Social,Mira Rautio,,"changelog, field-notes",Published,true,,2026-02-07,2026-02-17,2026-02-01T10:00,,"12 — Screenshots that lie, 25 — Six months of user reports",,,,
Timelines are not gantt charts,Commissioned after three separate user reports asked the same question.,Needs the benchmark numbers before it can be scheduled. Without them it is an opinion piece with a chart.,,blog.example.com/timelines-are-not-gantt-charts,iris.vandenberg@editorial.example.com,,4096,5,3,18,1469.8,Docs,Noah Kimani,"product, design, interview, engineering, opinion, tutorial","deep-dive, explainer",In Edit,false,2026-03-24,2026-03-13,2026-03-24,2026-03-08T14:30,,"26 — Benchmarking on a real device, 13 — A week with three note apps",,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
How we test a renderer,Commissioned after three separate user reports asked the same question.,,~~Spiked~~ revived,blog.example.com/how-we-test-a-renderer,etienne.girard@editorial.example.com,+31 20 342 6377,2856,1,45,,1866.05,Docs,Priya Raman,"interview, engineering, opinion, tutorial",,Drafting,false,2026-04-13,2026-03-24,2026-04-13,,,,,Database Testbed/Attachments/release-notes.txt,,
Screenshots that lie,Commissioned after three separate user reports asked the same question.,,Wait for the `0.0.24` numbers,blog.example.com/screenshots-that-lie,priya.raman@editorial.example.com,,4268,5,52,69,735.88,Video,Iris Vandenberg,"engineering, product, opinion, interview, design, tutorial",deep-dive,Published,false,2026-04-23,2026-04-18,2026-04-23,2026-04-18T09:30,,"14 — Local-first, three years on, 08 — Rollups explained without jargon",,Database Testbed/Attachments/release-notes.txt,,
