Title,In one line,Notes,Cue,Course page,Tutor,Department,Study minutes,Confidence,Revision done,Mark,Materials cost,Module,Lecturer,Skills,Term,Revision state,Examinable,Session,Covered from,Covered to,Last revised,Cost / study hour,Prerequisites,Prerequisite count,Handouts,Created,Modified
Linear algebra: vector spaces,Third pass and it finally clicked.,"The definition is not the difficulty. The difficulty is that two of the three worked examples in the notes skip a step, and the skipped step is the one that is not obvious.

To do:
- Rework example two from scratch
- Find a second source for the proof
- Practise the recall questions cold",,courses.example.com/linear-algebra-vector-spaces,dr.halima.said@university.example.com,,116,1,36,65,35.1,Theory,Prof. Anders Holm,"analysis, proof, implementation, coursework, exam-heavy","resit, spring",Unread,true,2026-03-30,2026-03-25,2026-03-30,2026-03-13T12:45,,"07 — Algorithms sorting, 09 — Algorithms dynamic programming",,,,
Linear algebra: eigenvalues,Third pass and it finally clicked.,"The definition is not the difficulty. The difficulty is that two of the three worked examples in the notes skip a step, and the skipped step is the one that is not obvious.

To do:
- Rework example two from scratch
- Find a second source for the proof
- Practise the recall questions cold",Rework example `two`,courses.example.com/linear-algebra-eigenvalues,dr.halima.said@university.example.com,,364,5,59,61,30.14,Mathematics,Prof. Anders Holm,"recall, exam-heavy, implementation",,Practised,false,2026-04-29,2026-04-27,2026-04-29,2026-04-21T14:00,,25 — Machine learning linear models,,,,
Probability: distributions,The reading matters more than the lecture here.,"Not examinable, and interesting anyway. Reading it after the exams.",**Examinable**,courses.example.com/probability-distributions,prof.anders.holm@university.example.com,,397,5,28,79,18.56,Theory,Dr Halima Saïd,,,Read Once,true,2026-02-23,2026-02-11,2026-02-23,2026-01-31T17:30,,"05 — Statistics hypothesis testing, 19 — Compilers parsing",,,,
Probability: Bayes,Third pass and it finally clicked.,,**Examinable**,courses.example.com/probability-bayes,,+31 20 264 6851,181,1,15,20,53.45,Applied,Dr Halima Saïd,"coursework, analysis, proof, implementation, recall, exam-heavy",spring,Practised,true,2026-04-27,2026-04-13,2026-04-27,2026-04-09T13:30,,"13 — Operating systems memory, 16 — Databases relational model",,Database Testbed/Attachments/audit-checklist.md,,
Statistics: hypothesis testing,Third pass and it finally clicked.,"Not examinable, and interesting anyway. Reading it after the exams.",~~Skipped~~ covered later,courses.example.com/statistics-hypothesis-testing,prof.anders.holm@university.example.com,+31 20 530 3110,433,2,62,84,90.12,Systems,Dr Halima Saïd,"coursework, implementation, analysis, recall, exam-heavy, proof",,Needs Revisit,false,2026-02-06,2026-01-28,2026-02-06,2026-01-27T07:00,,04 — Probability Bayes,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Statistics: regression,Covered twice because the first lecture was cancelled.,,==Clicked at last==,courses.example.com/statistics-regression,,+31 20 412 1181,214,2,6,49,7.64,Theory,Dr Wei Zhang,"recall, exam-heavy",,Practised,true,2026-02-20,2026-02-11,2026-02-20,2026-02-06T09:45,,"23 — Security cryptography basics, 18 — Databases transactions",,,,
Algorithms: sorting,"Examinable and badly understood, which is the worst combination.",,==Clicked at last==,courses.example.com/algorithms-sorting,dr.wei.zhang@university.example.com,+31 20 405 5317,456,3,1,80,21.36,Theory,Dr Fiona Gallagher,"proof, analysis","spring, resit",Unread,true,2026-04-14,2026-03-24,2026-04-14,,,"11 — Data structures hash maps, 08 — Algorithms graphs",,,,
Algorithms: graphs,Covered twice because the first lecture was cancelled.,,~~Skipped~~ covered later,courses.example.com/algorithms-graphs,,,361,2,,35,79.16,,,"analysis, recall, implementation, coursework, exam-heavy","resit, autumn",Read Once,false,2026-04-27,2026-04-24,2026-04-27,2026-04-14T08:15,,25 — Machine learning linear models,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Algorithms: dynamic programming,"Fine until the worked example, then it fell apart.",,*Third pass* needed,courses.example.com/algorithms-dynamic-programming,dr.fiona.gallagher@university.example.com,+31 20 968 9201,298,4,,39,71.37,Theory,Dr Wei Zhang,analysis,"spring, summer",Unread,false,2026-05-13,2026-04-25,2026-05-13,2026-04-17T08:00,,18 — Databases transactions,,,,
Data structures: trees,The reading matters more than the lecture here.,,Rework example `two`,courses.example.com/data-structures-trees,dr.wei.zhang@university.example.com,,46,2,67,,68.67,Mathematics,Dr Fiona Gallagher,"exam-heavy, recall, proof, analysis, implementation, coursework",,Needs Revisit,false,2026-02-18,2026-02-01,2026-02-18,2026-01-23T14:15,,"25 — Machine learning linear models, 23 — Security cryptography basics",,Database Testbed/Attachments/release-notes.txt,,
