old_path	new_path	reason
web/navigation/fibery-web-navigation-sidebar-4da33a94-00f6-4fff-994c-1cfb7236f24c.webp	web/views/fibery-web-views-4da33a94-00f6-4fff-994c-1cfb7236f24c.webp	Full month calendar grid rendered as main content
web/navigation/fibery-web-navigation-sidebar-50c7362e-1691-496d-958b-a33a949a9671.webp	web/onboarding/fibery-web-onboarding-50c7362e-1691-496d-958b-a33a949a9671.webp	Home Getting Started welcome checklist panel
web/navigation/fibery-web-navigation-sidebar-51cd7582-9372-45e5-97f4-9f8b9e78831d.webp	web/collaboration/fibery-web-collaboration-51cd7582-9372-45e5-97f4-9f8b9e78831d.webp	User Group Databases access/permission configuration
web/navigation/fibery-web-navigation-sidebar-521a4758-b38f-4140-83d5-6136122c460c.webp	web/onboarding/fibery-web-onboarding-521a4758-b38f-4140-83d5-6136122c460c.webp	Getting Started welcome checklist dominates panel
web/navigation/fibery-web-navigation-sidebar-53b097b5-9e72-45c4-9358-52bf03392997.webp	web/reports/fibery-web-reports-53b097b5-9e72-45c4-9358-52bf03392997.webp	New Report setup modal (Set up your report)
web/navigation/fibery-web-navigation-sidebar-56c6a3a0-6209-432a-a414-e1ee2705aa06.webp	web/editors/fibery-web-editors-56c6a3a0-6209-432a-a414-e1ee2705aa06.webp	New document title/summary editor
web/navigation/fibery-web-navigation-sidebar-56d364d2-12cd-4beb-9833-e38466fa6ec2.webp	web/database/fibery-web-database-56d364d2-12cd-4beb-9833-e38466fa6ec2.webp	Import wizard selecting destination Space
web/navigation/fibery-web-navigation-sidebar-5b68009c-1ccb-486a-96f5-db0840baff33.webp	web/onboarding/fibery-web-onboarding-5b68009c-1ccb-486a-96f5-db0840baff33.webp	Getting Started welcome checklist dominates panel
web/navigation/fibery-web-navigation-sidebar-5f1c7409-72b0-4af2-97f5-58d540176e5c.webp	web/views/fibery-web-views-5f1c7409-72b0-4af2-97f5-58d540176e5c.webp	New calendar view creation panel
web/navigation/fibery-web-navigation-sidebar-61f89f3f-4703-498a-bfef-97ee8f654654.webp	web/database/fibery-web-database-61f89f3f-4703-498a-bfef-97ee8f654654.webp	New table field color-coding picker
web/navigation/fibery-web-navigation-sidebar-620cb491-c5fd-48a5-86fd-1f2ef3372da2.webp	web/editors/fibery-web-editors-620cb491-c5fd-48a5-86fd-1f2ef3372da2.webp	New document with pasted image + image source picker
web/navigation/fibery-web-navigation-sidebar-629af65d-55c9-4b52-8a06-bca57f4cbec2.webp	web/database/fibery-web-database-629af65d-55c9-4b52-8a06-bca57f4cbec2.webp	Person entity detail record with typed fields
