Title,In one line,Service history,Note,Product page,Retailer,Support line,Warranty (months),Condition score,Warranty used,Depreciation,Purchase price,Room,Owner,Categories,Floor,Condition,Insured,Purchased,Warranty from,Warranty to,Last serviced,Cost / month held,Part of set,Set size,Receipts,Created,Modified
Washing machine,Replaced under warranty after fourteen months.,"Second hand and undocumented. Value here is an estimate, not a receipt.",~~Faulty~~ repaired,,hanna.virtanen@retail.example.com,+31 20 298 2519,86,3,31,,1075.58,Outside,Oscar Lindgren,"serviceable, tools, high-value","loft, garage",New,false,2026-05-02,2026-04-13,2026-05-02,2026-04-10T19:45,,"22 — Bed frame, 04 — Oven",,,,
Dishwasher,"Bought second hand, no receipt.",The extended cover is worth more than the item at this point. Not renewing.,==Insured separately==,,michel.kerkmeester@retail.example.com,,72,5,78,52,2771.62,Bedroom,Hanna Virtanen,"appliance, furniture, electronics",ground,Worn,false,2026-03-29,2026-03-21,2026-03-29,2026-03-17T12:15,,,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Fridge freezer,"Bought second hand, no receipt.",The extended cover is worth more than the item at this point. Not renewing.,"*Second hand*, no receipt",,oscar.lindgren@retail.example.com,,89,2,,99,1618.29,Bedroom,Michel Kerkmeester,"appliance, electronics, high-value, tools, furniture, serviceable","first, ground",Disposed,false,2026-05-01,2026-04-13,2026-05-01,2026-04-07T12:30,,"01 — Washing machine, 19 — Sofa",,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Oven,"Serviced annually, next one due in spring.",The extended cover is worth more than the item at this point. Not renewing.,**Out of warranty**,,,+31 20 498 8973,91,1,,13,1646.65,Study,Michel Kerkmeester,"tools, furniture, electronics, serviceable",,Good,false,2026-04-10,2026-03-29,2026-04-10,2026-03-26T10:45,,,,,,
Induction hob,Replaced under warranty after fourteen months.,"Second hand and undocumented. Value here is an estimate, not a receipt.","*Second hand*, no receipt",products.example.com/induction-hob,michel.kerkmeester@retail.example.com,+31 20 858 1737,81,4,43,,3266.27,Bedroom,Oscar Lindgren,"serviceable, appliance",ground,Faulty,true,2026-02-19,2026-02-18,2026-02-19,2026-02-08T15:30,,,,,,
Extractor fan,"Bought second hand, no receipt.","Serviced once, which is when the pump was replaced. The noise it makes on the spin cycle predates that and is apparently normal for the model.

Worth keeping:
- The receipt, for the extended cover
- The model number, which is inside the door
- The service company's number",**Out of warranty**,products.example.com/extractor-fan,,+31 20 200 4496,80,2,,,1319.95,,,"serviceable, tools, furniture",ground,Disposed,false,2026-06-01,2026-05-19,2026-06-01,2026-05-07T19:30,,,,,,
Boiler,"Bought second hand, no receipt.",The extended cover is worth more than the item at this point. Not renewing.,"*Second hand*, no receipt",products.example.com/boiler,michel.kerkmeester@retail.example.com,+31 20 562 5620,60,5,55,79,,Bedroom,Michel Kerkmeester,"serviceable, high-value, tools",loft,Good,false,2026-05-25,2026-05-11,2026-05-25,2026-05-03T10:00,,"23 — Mattress, 01 — Washing machine",,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Thermostat,"Serviced annually, next one due in spring.","Serviced once, which is when the pump was replaced. The noise it makes on the spin cycle predates that and is apparently normal for the model.

Worth keeping:
- The receipt, for the extended cover
- The model number, which is inside the door
- The service company's number",~~Faulty~~ repaired,products.example.com/thermostat,hanna.virtanen@retail.example.com,,113,4,3,0,3232.43,Outside,Michel Kerkmeester,"furniture, high-value, appliance, serviceable, tools, electronics","garage, first",Worn,false,2026-02-17,2026-02-02,2026-02-17,2026-01-25T07:15,,,,Database Testbed/Attachments/audit-checklist.md,,
Smoke alarms,"Serviced annually, next one due in spring.",,==Insured separately==,products.example.com/smoke-alarms,,+31 20 362 4895,48,4,2,52,1272.46,Study,Oscar Lindgren,"appliance, furniture, high-value, serviceable",,Faulty,false,2026-05-28,2026-05-17,2026-05-28,,,,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Router,"Bought second hand, no receipt.",The extended cover is worth more than the item at this point. Not renewing.,Model on the `inside` of the door,products.example.com/router,michel.kerkmeester@retail.example.com,+31 20 724 2154,90,4,81,13,,Living room,Hanna Virtanen,,"loft, garage",Good,false,2026-04-26,2026-04-13,2026-04-26,,,"04 — Oven, 20 — Dining table",,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
