Title,Summary,Notes,Headline,Link,Email,Phone,Amount,Rating,Progress,Attainment,Budget,Priority,Owner,Labels,Tags,Status,Pinned,Due,Starts,Ends,Reviewed,Ratio,Related,Related count,Attachments,Created,Modified
"Full record, every facet filled",Waiting on a decision about the phone build.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",**Critical path** for the quarter,testbed.example.com/full-record-every-facet-filled,renee.dubois@testbed.example,+31 20 690 6972,7,1,72,82,77397.92,Critical,Ada Lovelace,"mobile, urgent, backend, research, infra",platform,Backlog,true,2026-05-09,2026-05-06,2026-05-09,2026-04-24T17:45,,02 — Onboarding flow redesign,,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Onboarding flow redesign,Second attempt after the first rollback.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",==Highest confidence== item this cycle,testbed.example.com/onboarding-flow-redesign,,+31 20 677 7652,17,,83,11,64400.56,High,Jean Bartik,,,Blocked,false,2026-02-24,2026-02-03,2026-02-24,2026-02-03T14:45,,"17 — Legacy importer retirement, 11 — Notification centre",,"Database Testbed/Attachments/release-notes.txt, Database Testbed/Attachments/audit-checklist.md",,
Search relevance tuning,Waiting on a decision about the phone build.,"Two attempts, one rollback. The second attempt changed the retry window rather than the payload, which is the difference that mattered.",~~Deferred~~ then reinstated,testbed.example.com/search-relevance-tuning,ada.lovelace@testbed.example,+31 20 630 7205,8,1,,84,33684.11,Low,Grace Hopper,"infra, mobile, backend, urgent, docs, design","mobile, growth",In Review,false,2026-04-28,2026-04-13,2026-04-28,,,"25 — Payment retry backoff, 06 — Mobile navigation sweep",,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Billing webhook retries,Handed to the platform team for the data leg.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",*Waiting* on the vendor,testbed.example.com/billing-webhook-retries,renee.dubois@testbed.example,+31 20 749 5928,4,,97,,10284.01,,Jean Bartik,"backend, mobile, infra",,Archived,true,2026-02-04,2026-01-27,2026-02-04,,,21 — Customer interview round two,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
Design token migration,Waiting on a decision about the phone build.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,Needs `feature-flag` cleanup first,,renee.dubois@testbed.example,,17,,52,50,30776.27,Medium,Grace Hopper,"docs, mobile","infra, platform",Done,false,2026-04-30,2026-04-23,2026-04-30,2026-04-20T11:30,,,,Database Testbed/Attachments/audit-checklist.md,,
Mobile navigation sweep,Rolled out to ten percent of accounts.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,**Critical path** for the quarter,testbed.example.com/mobile-navigation-sweep,mehmet.ozturk@testbed.example,+31 20 210 4174,11,2,46,,72290.53,Medium,Jean Bartik,"backend, research",,Blocked,false,2026-05-31,2026-05-12,2026-05-31,2026-05-10T15:00,,,,,,
Data warehouse cutover,Rolled out to ten percent of accounts.,,==Highest confidence== item this cycle,testbed.example.com/data-warehouse-cutover,renee.dubois@testbed.example,+31 20 154 9639,16,1,90,85,72281.18,Medium,Ada Lovelace,"design, infra, docs","growth, design-systems",Done,false,2026-05-11,2026-04-20,2026-05-11,2026-04-11T07:30,,,,Database Testbed/Attachments/release-notes.txt,,
Rate limiter rollout,Rolled out to ten percent of accounts.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",==Highest confidence== item this cycle,,mehmet.ozturk@testbed.example,+31 20 106 1434,9,5,,67,16103.79,Critical,Mehmet Öztürk,,"mobile, growth",Backlog,true,2026-05-22,2026-05-14,2026-05-22,2026-05-10T18:45,,"17 — Legacy importer retirement, 29 — Session replay pilot",,,,
Localisation sprint,Second attempt after the first rollback.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",**Critical path** for the quarter,testbed.example.com/localisation-sprint,ada.lovelace@testbed.example,,9,3,59,85,33854.97,Critical,Grace Hopper,"mobile, infra, research, design, urgent","mobile, design-systems",Archived,false,2026-02-14,2026-02-04,2026-02-14,2026-01-24T16:30,,03 — Search relevance tuning,,,,
Accessibility audit,Scope confirmed with the steering group.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",**Critical path** for the quarter,testbed.example.com/accessibility-audit,jean.bartik@testbed.example,,19,3,87,37,30077.66,Critical,Jean Bartik,"infra, urgent","platform, infra",Blocked,true,2026-04-30,2026-04-24,2026-04-30,2026-04-18T12:45,,,,,,
Notification centre,Scope confirmed with the steering group.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,**Critical path** for the quarter,testbed.example.com/notification-centre,ada.lovelace@testbed.example,+31 20 291 5322,10,1,96,21,58547.34,Critical,Mehmet Öztürk,"urgent, infra, mobile, design, backend",,Done,false,2026-04-21,2026-04-06,2026-04-21,2026-04-06T11:30,,12 — Pricing experiment,,,,
Pricing experiment,Scope confirmed with the steering group.,"Kickoff scope confirmed with the steering group.

Open questions:
- Which surfaces are in scope for the phone build?
- Do we reuse last cycle's evidence bundle?

Decision: proceed with the reduced set and revisit at the mid-cycle review. This paragraph is intentionally long so that wrapping, the record detail panel and the card frames all get a real multi-line value to render on a narrow screen.",*Waiting* on the vendor,testbed.example.com/pricing-experiment,jean.bartik@testbed.example,+31 20 963 8900,13,4,25,96,18983.04,Critical,Jean Bartik,"mobile, infra, backend",,Blocked,true,2026-05-20,2026-05-19,2026-05-20,2026-05-12T12:45,,,,,,
Docs information architecture,Rolled out to ten percent of accounts.,Nothing here is blocked on engineering. The remaining work is a contract and a date.,==Highest confidence== item this cycle,testbed.example.com/docs-information-architecture,,,11,3,9,,83495.78,Critical,Renée Dubois,"backend, docs, research, infra, urgent, mobile","design-systems, growth",Blocked,true,2026-04-08,2026-04-07,2026-04-08,,,,,"Database Testbed/Attachments/audit-checklist.md, Database Testbed/Attachments/release-notes.txt",,
